movieId,title,genres,poster_url,poster_zip_path
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,posters.zip
2,Jumanji (1995),Adventure|Children|Fantasy,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,posters.zip
3,Grumpier Old Men (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,posters.zip
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://image.tmdb.org/t/p/w500/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,posters.zip
5,Father of the Bride Part II (1995),Comedy,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,posters.zip
6,Heat (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,posters.zip
7,Sabrina (1995),Comedy|Romance,https://image.tmdb.org/t/p/w500/8vvgKw3DbEPNlJAdHe7xXzhb2gN.jpg,posters.zip
8,Tom and Huck (1995),Adventure|Children,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,posters.zip
9,Sudden Death (1995),Action,https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,posters.zip
10,GoldenEye (1995),Action|Adventure|Thriller,https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,posters.zip
11,"American President, The (1995)",Comedy|Drama|Romance,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,posters.zip
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://image.tmdb.org/t/p/w500/fwdXQU3Dbs2CMHu8K87bAxlWV0t.jpg,posters.zip
13,Balto (1995),Adventure|Animation|Children,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,posters.zip
14,Nixon (1995),Drama,https://image.tmdb.org/t/p/w500/8O2sBYJq0K0EMpw67cU1PjVJ7w3.jpg,posters.zip
15,Cutthroat Island (1995),Action|Adventure|Romance,https://image.tmdb.org/t/p/w500/cDYa1i5UzXWztO5ZUp4azv7ycPs.jpg,posters.zip
16,Casino (1995),Crime|Drama,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,posters.zip
17,Sense and Sensibility (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/9pGmTVv1S0WQkFeaFaDZKU0zyr8.jpg,posters.zip
18,Four Rooms (1995),Comedy,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,posters.zip
19,Ace Ventura: When Nature Calls (1995),Comedy,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,posters.zip
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,posters.zip
21,Get Shorty (1995),Comedy|Crime|Thriller,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,posters.zip
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,posters.zip
23,Assassins (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/w500/guEH393qNWWh2wBJoGP7oqmjTK5.jpg,posters.zip
24,Powder (1995),Drama|Sci-Fi,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,posters.zip
25,Leaving Las Vegas (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,posters.zip
26,Othello (1995),Drama,https://image.tmdb.org/t/p/w500/4ieE9noJYBRcsihKIULJZ18VwHk.jpg,posters.zip
27,Now and Then (1995),Children|Drama,https://image.tmdb.org/t/p/w500/kTZr6lYiNoucv2cVsSzMWJwyDro.jpg,posters.zip
28,Persuasion (1995),Drama|Romance,https://image.tmdb.org/t/p/w500/s99WrKSEVR4RVvwm5Zn2cqrHTMM.jpg,posters.zip
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,posters.zip
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,posters.zip
31,Dangerous Minds (1995),Drama,https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,posters.zip
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,,posters.zip
34,Babe (1995),Children|Drama,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,posters.zip
